objectid,parentid,title,description,coverage,isPartOf,creator,publisher,source,date,type,format,extent,language,relation,rights,license,display_template,object_location,image_small,image_thumb,image_alt_text
abb10039,,Die Löblich und wyt berümpt Stat Basel,"Die Karte zeigt Basel als befestigte Grenzstadt (rechts) sowie ihre geografische Lage zwischen dem Breisgau, dem Sundgau und den eidgenössischen Gebieten (links).",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/9ec7e6fc95c1514198ca6b3cb46a128d60f0ecc1.jpg,objects/9ec7e6fc95c1514198ca6b3cb46a128d60f0ecc1.jpg,
m10039,abb10039,Die Löblich und wyt berümpt Stat Basel,"Die Karte zeigt Basel als befestigte Grenzstadt (rechts) sowie ihre geografische Lage zwischen dem Breisgau, dem Sundgau und den eidgenössischen Gebieten (links).",Frühe Neuzeit,,[Sebastian Münster](https://www.wikidata.org/wiki/Q61073),[Staatsarchiv Basel-Stadt](https://dls.staatsarchiv.bs.ch/),"[Staatsarchiv Basel-Stadt, PLA 15, 1-3](https://dls.staatsarchiv.bs.ch/records/189838)",1538,[Image](http://purl.org/dc/dcmitype/Image),image/tiff,9752x5559,de,"[Sebastian Münster, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/010764/2008-07-08/)","Bilddaten gemeinfrei - Staatsarchiv Basel-Stadt, PLA 15, 1-3",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/9ec7e6fc95c1514198ca6b3cb46a128d60f0ecc1.tif,objects/9ec7e6fc95c1514198ca6b3cb46a128d60f0ecc1.jpg,objects/9ec7e6fc95c1514198ca6b3cb46a128d60f0ecc1.jpg,
abb10262,,Vom Teufel gefangener Landsknecht,"In seinen Zeichnungen kommentierte der aus Solothurn stammende Basler Maler Urs Graf ironisch das von den Zeitgenossen heftig diskutierte Söldnerwesen. Graf nahm selbst an mehreren Kriegszügen teil. Hier führt der mit einem Schweizerdolch ausgestattete Teufel einen alten, aufgeputzten deutschen Landsknecht am Narrenseil.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/7051010db714d0d167727e28b7d6f9ce1e3a7942.jpg,objects/7051010db714d0d167727e28b7d6f9ce1e3a7942.jpg,
m10262,abb10262,Vom Teufel gefangener Landsknecht,"In seinen Zeichnungen kommentierte der aus Solothurn stammende Basler Maler Urs Graf ironisch das von den Zeitgenossen heftig diskutierte Söldnerwesen. Graf nahm selbst an mehreren Kriegszügen teil. Hier führt der mit einem Schweizerdolch ausgestattete Teufel einen alten, aufgeputzten deutschen Landsknecht am Narrenseil.",Frühe Neuzeit,,[Urs Graf](https://www.wikidata.org/wiki/Q688304),[Kunstmuseum Basel](https://kunstmuseumbasel.ch/),"[KMB, Inv. U.X.71](https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=16557&viewType=detailView)",1516,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,3419x4715,de,"[Wikipedia, Urs Graf](https://de.wikipedia.org/wiki/Urs_Graf_der_%C3%84ltere);[Urs Graf, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/018294/2005-12-01/)","Bilddaten gemeinfrei - KMB, Inv. U.X.71",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/7051010db714d0d167727e28b7d6f9ce1e3a7942.jpg,objects/7051010db714d0d167727e28b7d6f9ce1e3a7942.jpg,objects/7051010db714d0d167727e28b7d6f9ce1e3a7942.jpg,
abb10311,,Doppelporträt von Jakob Meyer zum Hasen und Dorothea Kannengiesser,"Das Doppelporträt des Ehepaars Meyer-Kannengiesser ist eines der ersten Bilder, das Hans Holbein d. J. in Basel schuf. Es entstand 1516 anlässlich der Wahl Meyers zum Basler Bürgermeister. Meyer war der erste Bürgermeister, der nicht aus dem Adel stammte, sondern aus einer Zunft kam.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/18ba605ab59b8b5ef6f72d2d0d473947b8b0cb50.jpg,objects/18ba605ab59b8b5ef6f72d2d0d473947b8b0cb50.jpg,
m10311,abb10311,Doppelporträt von Jakob Meyer zum Hasen und Dorothea Kannengiesser,"Das Doppelporträt des Ehepaars Meyer-Kannengiesser ist eines der ersten Bilder, das Hans Holbein d. J. in Basel schuf. Es entstand 1516 anlässlich der Wahl Meyers zum Basler Bürgermeister. Meyer war der erste Bürgermeister, der nicht aus dem Adel stammte, sondern aus einer Zunft kam.",Frühe Neuzeit,,"[Hans Holbein, der Jüngere](https://www.wikidata.org/wiki/Q48319)",[Kunstmuseum Basel](https://kunstmuseumbasel.ch/),"[KMB, Inv. 312](https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=961&viewType=detailView)",1516,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,10000x6192,de,"[Hans Holbein, der Jüngere, Wikipedia](https://de.wikipedia.org/wiki/Hans_Holbein_der_J%C3%BCngere);[Hans Holbein, d. J., Historisches Lexikon der Schweiz](https://hls-dhs-dss.ch/de/articles/018297/2011-11-03/);[Jakob Meyer zum Hasen, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/019318/2010-09-23/);[Doppelgemälde, Wikipedia](https://de.wikipedia.org/wiki/Doppelbildnis_des_Jakob_Meyer_zum_Hasen_und_der_Dorothea_Kannengie%C3%9Fer);[Dorothea Kannengiesser](https://www.wikidata.org/wiki/Q94774824);[Jakob Meyer zum Hasen](https://www.wikidata.org/wiki/Q869981)","Bilddaten gemeinfrei - KMB, Inv. 312",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/18ba605ab59b8b5ef6f72d2d0d473947b8b0cb50.jpg,objects/18ba605ab59b8b5ef6f72d2d0d473947b8b0cb50.jpg,objects/18ba605ab59b8b5ef6f72d2d0d473947b8b0cb50.jpg,
abb10333,,Anfang des Matthäusevangeliums im Novum Instrumentum omne,1516 druckte Johannes Froben das von Erasmus herausgegebene und übersetzte ‹Novum Instrumentum omne› und setzte damit einen Meilenstein in der europäischen Kultur- und Geistesgeschichte. Es handelte sich um den ersten Druck des Neuen Testaments in griechischer Sprache. In die rechte Spalte liess Erasmus eine von ihm selbst angefertigte lateinische Übersetzung setzen.,Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/a847265e5e78a9d5c26cb6c8aee240d8f25bc46b.jpg,objects/a847265e5e78a9d5c26cb6c8aee240d8f25bc46b.jpg,
m10333,abb10333,Anfang des Matthäusevangeliums im Novum Instrumentum omne,1516 druckte Johannes Froben das von Erasmus herausgegebene und übersetzte ‹Novum Instrumentum omne› und setzte damit einen Meilenstein in der europäischen Kultur- und Geistesgeschichte. Es handelte sich um den ersten Druck des Neuen Testaments in griechischer Sprache. In die rechte Spalte liess Erasmus eine von ihm selbst angefertigte lateinische Übersetzung setzen.,Frühe Neuzeit,,[Erasmus von Rotterdam](https://www.wikidata.org/wiki/Q43499),[Universitätsbibliothek Basel](https://ub.unibas.ch/de/),[UBH BibG B3](https://ubs.swisscovery.slsp.ch/discovery/fulldisplay?docid=alma9972650368305504&context=L&vid=41SLSP_UBS:live&lang=de&adaptor=Local%20Search%20Engine&tab=LibraryCatalog&offset=0),1516,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,2878x4009,,"[Novum Instrumentum omne](https://doi.org/10.3931/e-rara-2849);[Erasmus von Rotterdam, Wikipedia](https://de.wikipedia.org/wiki/Erasmus_von_Rotterdam);[Erasmus von Rotterdam, Blogbeitrag](https://blog.nationalmuseum.ch/2019/03/erasmus-in-basel/);[Erasmus von Rotterdam, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/010590/2005-10-24/)","Public Domain Mark - UB Basel, UBH BibG B3",https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/a847265e5e78a9d5c26cb6c8aee240d8f25bc46b.jpg,objects/a847265e5e78a9d5c26cb6c8aee240d8f25bc46b.jpg,objects/a847265e5e78a9d5c26cb6c8aee240d8f25bc46b.jpg,
abb10671,,"Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige","Religiöse Stiftungen dienten in der Zeit vor der Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.",Frühe Neuzeit,"Burghartz, Susanna (Hg,): Aufbrüche, Krisen, Transformationen. 1510-1790, Basel 2024 (Stadt.Geschichte.Basel 4).",,,,,,,,de,,,,compound_object,,objects/414c9cc176d60658d6ba8f3fa4d96d7b9ee1490f.jpg,objects/414c9cc176d60658d6ba8f3fa4d96d7b9ee1490f.jpg,
m10671_1,abb10671,"Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige (links)","Religiöse Stiftungen dienten in der Zeit vor der Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.",Frühe Neuzeit,,[Hans Holbein der Jüngere](https://www.wikidata.org/wiki/Q48319),"Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388","[Oberried Altar (links), Wikipedia](https://en.m.wikipedia.org/wiki/File:Oberried_Altarpiece_(left_wing_panel,_the_Adoration_of_the_Magi),_by_Hans_Holbein_the_Younger.jpg)",1525~,[Image](http://purl.org/dc/dcmitype/Image),image/jpeg,1392x2940,de,"[Oberried (Familie), Historisches Lexikon der Schweiz](https://hls-dhs-dss.ch/de/articles/020981/2008-12-03/);[Hans Holbein der Jüngere, Wikipedia](https://de.wikipedia.org/wiki/Hans_Holbein_der_J%C3%BCngere);[Hans Holbein der Jüngere, Historisches Lexikon Schweiz](https://hls-dhs-dss.ch/de/articles/018297/2011-11-03/)",Wikimedia Commons - Public Domain Mark,https://creativecommons.org/publicdomain/mark/1.0/,image,https://omeka.unibe.ch/files/original/414c9cc176d60658d6ba8f3fa4d96d7b9ee1490f.jpg,objects/414c9cc176d60658d6ba8f3fa4d96d7b9ee1490f.jpg,objects/414c9cc176d60658d6ba8f3fa4d96d7b9ee1490f.jpg,
