"objectid","parentid","title","description","subject","era","isPartOf","creator","publisher","source","date","type","format","extent","language","relation","rights","license","display_template","object_location","image_small","image_thumb","image_alt_text"
"abb10039",,"Sebastian Münster, ‹Die Löblich und wyt berümpt Stat Basel›, 1538","Die Karte zeigt Basel als befestigte Grenzstadt (rechts) sowie ihre geografische Lage zwischen dem Breisgau, dem Sundgau und den eidgenössischen Gebieten (links).","Stadt","Neuzeit",4,,,,,,,,,,,,"compound_object",,"https://omeka.unibe.ch/files/large/f3cf104c7d3a7cfac8cd3b058755c8727f6bd268.jpg","https://omeka.unibe.ch/files/large/f3cf104c7d3a7cfac8cd3b058755c8727f6bd268.jpg",
"m00001","abb10039","Sebastian Münster, ‹Die Löblich und wyt berümpt Stat Basel›, 1538","Die Karte zeigt Basel als befestigte Grenzstadt (rechts) sowie ihre geografische Lage zwischen dem Breisgau, dem Sundgau und den eidgenössischen Gebieten (links).","Stadt","Neuzeit",,"Sebastian Münster; Q61073","Staatsarchiv Basel-Stadt","StABS, PLA 15, 1-3; https://dls.staatsarchiv.bs.ch/records/189838",1538,"http://purl.org/dc/dcmitype/Image","image/tiff","9752x5559",,,"Bilddaten gemeinfrei - StABS
StABS, PLA 15, 1-3","https://creativecommons.org/publicdomain/mark/1.0/","image",,"https://omeka.unibe.ch/files/large/f3cf104c7d3a7cfac8cd3b058755c8727f6bd268.jpg","https://omeka.unibe.ch/files/large/f3cf104c7d3a7cfac8cd3b058755c8727f6bd268.jpg","Alt-text-platzhalter"
"abb10970",,"Hans Asper, Johannes Oekolampad, 1550","Der Theologieprofessor und Prediger Johannes Oekolampad wurde zur Führungsfigur der Basler Reformation. Hans Asper stellte ihn mit der Bibel als dem zentralen Leitbild des neuen Glaubens dar.","Kirche; Christentum","Neuzeit",4,,,,,,,,,,,,"compound_object",,"https://omeka.unibe.ch/files/large/031e97b482e3b20db8195a459b6ad6aab695ca0c.jpg","https://omeka.unibe.ch/files/large/031e97b482e3b20db8195a459b6ad6aab695ca0c.jpg",
"m00002","abb10970","Hans Asper, Johannes Oekolampad, 1550","Der Theologieprofessor und Prediger Johannes Oekolampad wurde zur Führungsfigur der Basler Reformation. Hans Asper stellte ihn mit der Bibel als dem zentralen Leitbild des neuen Glaubens dar.","Kirche; Christentum","Neuzeit",,"Hans Asper; Q115752","Kunstmuseum Basel","KMB Inv. 12; https://sammlungonline.kunstmuseumbasel.ch/eMP/eMuseumPlus?service=ExternalInterface&module=collection&objectId=1074&viewType=detailView","1531/1550","http://purl.org/dc/dcmitype/Image","image/jpeg","5067x6031","Latein",,"Bilddaten gemeinfrei - Kunstmuseum Basel
KMB, Inv. 12","https://creativecommons.org/publicdomain/mark/1.0/","image",,"https://omeka.unibe.ch/files/large/031e97b482e3b20db8195a459b6ad6aab695ca0c.jpg","https://omeka.unibe.ch/files/large/031e97b482e3b20db8195a459b6ad6aab695ca0c.jpg","Alt-text-platzhalter"
"abb11639",,"Jacques Granthomme, Porträt von Johann Jakob Grynaeus, um 1600","Antistes Grynaeus prägte die Basler Kirchengeschichte nach der Reformation. Unter seiner Führung setzte sich die reformierte Orthodoxie durch und die Basler Kirche näherte sich den Kirchen in der reformierten Eidgenossenschaft an.","Kirche; Religion; Christentum","Neuzeit",4,,,,,,,,,,,,"compound_object",,"https://omeka.unibe.ch/files/large/d5d8da12bd405b5117478ee0afa029afb50f5585.jpg","https://omeka.unibe.ch/files/large/d5d8da12bd405b5117478ee0afa029afb50f5585.jpg",
"m00003","abb11639","Jacques Granthomme, Porträt von Johann Jakob Grynaeus, um 1600","Antistes Grynaeus prägte die Basler Kirchengeschichte nach der Reformation. Unter seiner Führung setzte sich die reformierte Orthodoxie durch und die Basler Kirche näherte sich den Kirchen in der reformierten Eidgenossenschaft an.","Kirche; Religion; Christentum","Neuzeit",,"Jacques Granthomme; Q21570201","Universitätsbibliothek Basel","UBH Portr BS Grynaeus JJ 1540, 3b. UBH, UBH Portr BS Grynaeus JJ 1540, 3a. UBH; https://ub-portraets.ub.unibas.ch/de/detail/portraets_9945027570105504",,"http://purl.org/dc/dcmitype/Image","image/tiff","3118x4701",,,"Public Domain Mark
UB Basel, UBH Portr BS Grynaeus JJ 1540,
3b","https://creativecommons.org/publicdomain/mark/1.0/","image",,"https://omeka.unibe.ch/files/large/d5d8da12bd405b5117478ee0afa029afb50f5585.jpg","https://omeka.unibe.ch/files/large/d5d8da12bd405b5117478ee0afa029afb50f5585.jpg","Alt-text-platzhalter"
"abb10671",,"Hans Holbein d. J., Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige, Universitätskapelle des Münsters, Freiburg i. Br., um 1525","Religiöse Stiftungen dienten in der Zeit vor der
Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.","Kirche; Religion; Bevölkerung","Neuzeit",,,,,,,,,,,,,"compound_object",,"https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg","https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg",
"m00004","abb10671","Hans Holbein d. J., Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige, Universitätskapelle des Münsters, Freiburg i. Br., um 1525","Religiöse Stiftungen dienten in der Zeit vor der
Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.","Kirche; Religion; Bevölkerung","Neuzeit",,"Hans Holbein d. J.; Q48319","Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388","Wikimedia Commons; https://commons.wikimedia.org/wiki/File:Oberried_Altarpiece_%28right_wing_panel,_the_birth_of_Christ%29,_by_Hans_Holbein_the_Younger.jpg#metadata","1525~","http://purl.org/dc/dcmitype/Image","image/jpeg","1392x2940",,,"Public Domain Mark
Sander 2005, S. 384–385, Wikimedia Commons","https://en.wikipedia.org/wiki/Public_domain","image","https://omeka.unibe.ch/files/original/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg","https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg","https://omeka.unibe.ch/files/large/909e3fe0424fee44866d1e9c8761a3779ad4d202.jpg",
"m00005","abb10671","Hans Holbein d. J., Oberried-Altar, Flügel mit der Darstellung der Geburt Christi und der Anbetung der Heiligen Drei Könige, Universitätskapelle des Münsters, Freiburg i. Br., um 1525","Religiöse Stiftungen dienten in der Zeit vor der
Reformation dem eigenen Seelenheil und stillten zugleich das Bedürfnis, die eigene Frömmigkeit zur Schau zu stellen. Die Basler Bankiers- und Kaufmannsfamilie der Zscheckenbürlin investierte bis in die 1520er-Jahre viel Geld in solche Stiftungen. Einen Flügelaltar, der die Geburt Christi und die Anbetung der Drei Könige zeigt, liessen Amalie Zscheckenbürlin und ihr Gatte, Hans Oberried d. Ä., von Hans Holbein d. J. vermutlich für die Basler Kartause anfertigen. An den unteren Rändern liess sich die Stifterfamilie selbst abbilden. 1529 nahm das Ehepaar, das beim alten Glauben blieb, die Bilder mit nach Freiburg im Breisgau.","Kirche; Religion; Bevölkerung","Neuzeit",,"Hans Holbein d. J.; Q48319","Jochen Sander, Hans Holbein d. J. Tafelmaler in Basel 1515-1532, München 2005, S. 388","Wikimedia Commons; https://commons.wikimedia.org/wiki/File:Oberried_Altarpiece_%28right_wing_panel,_the_birth_of_Christ%29,_by_Hans_Holbein_the_Younger.jpg#metadata","1525~","http://purl.org/dc/dcmitype/Image","image/jpeg","1392x2940",,,"Public Domain Mark
Sander 2005, S. 384–385, Wikimedia Commons","https://en.wikipedia.org/wiki/Public_domain","image","https://omeka.unibe.ch/files/original/756614670f7f6552f9094b239bc502b20c741cfb.jpg","https://omeka.unibe.ch/files/large/756614670f7f6552f9094b239bc502b20c741cfb.jpg","https://omeka.unibe.ch/files/large/756614670f7f6552f9094b239bc502b20c741cfb.jpg",
"abb21119",,"Das internationale Handelsnetz der Basler Kaufleute und Fabrikanten","Über Frankfurt war Basel mit den Ost-und Nordseehäfen Lübeck, Hamburg und
Bremen verbunden, über Köln mit den Niederlanden, wo Amsterdam als Drehscheibe für den Seehandel in die Ost- und Nordsee einerseits, in den Atlantik und die aussereuropäischen Kolonien andererseits diente. Dem Hochrhein entlang gelangte man von Basel über Schaffhausen in den Bodenseeraum bis nach Augsburg und von dort über den Brenner weiter nach Oberitalien. In Richtung Süden verlief seit dem 18. Jahrhundert eine wichtige Verbindung über den Oberen Hauenstein nach Genf, weiter nach Lyon und Marseille. Im Westen führten zwei Strassen über Nancy und Châlons sur Marne oder Troyes nach Paris und von dort zu den französischen Atlantikhäfen. Über den Bözberg und Zürich lief der Transport über die Gotthardroute und die Bündnerpässe bis Mailand, in die Lombardei, nach Genua, Livorno und Venedig und von dort weiter in die Levante.","Wirtschaft; Globalisierung; Kolonialismus","Neuzeit",4,,,,,,,,,,,,"compound_object",,,,
"m00006","abb21119","Karte des internationalen Handelsnetzes","Über Frankfurt war Basel mit den Ost-und Nordseehäfen Lübeck, Hamburg und
Bremen verbunden, über Köln mit den Niederlanden, wo Amsterdam als Drehscheibe für den Seehandel in die Ost- und Nordsee einerseits, in den Atlantik und die aussereuropäischen Kolonien andererseits diente. Dem Hochrhein entlang gelangte man von Basel über Schaffhausen in den Bodenseeraum bis nach Augsburg und von dort über den Brenner weiter nach Oberitalien. In Richtung Süden verlief seit dem 18. Jahrhundert eine wichtige Verbindung über den Oberen Hauenstein nach Genf, weiter nach Lyon und Marseille. Im Westen führten zwei Strassen über Nancy und Châlons sur Marne oder Troyes nach Paris und von dort zu den französischen Atlantikhäfen. Über den Bözberg und Zürich lief der Transport über die Gotthardroute und die Bündnerpässe bis Mailand, in die Lombardei, nach Genua, Livorno und Venedig und von dort weiter in die Levante.","Wirtschaft; Globalisierung; Kolonialismus","Neuzeit",,"Stadt.Geschichte.Basel; Q122442230",,"HMB, Alioth 1981, S. 85.",,"http://purl.org/dc/dcmitype/Image","application/pdf","1830x1654",,,"CC BY-SA.4.0
Quelle: HMB; Alioth 1981, S. 85. Bearbeitung:
Nico Görlich / Moritz Twente","https://creativecommons.org/licenses/by-sa/4.0/","pdf","https://omeka.unibe.ch/files/original/871e627dbe0b284768a3d34a40e7fdbff9137e4b.pdf",,,
"m00007","abb21119","Legende zur Karte","Über Frankfurt war Basel mit den Ost-und Nordseehäfen Lübeck, Hamburg und
Bremen verbunden, über Köln mit den Niederlanden, wo Amsterdam als Drehscheibe für den Seehandel in die Ost- und Nordsee einerseits, in den Atlantik und die aussereuropäischen Kolonien andererseits diente. Dem Hochrhein entlang gelangte man von Basel über Schaffhausen in den Bodenseeraum bis nach Augsburg und von dort über den Brenner weiter nach Oberitalien. In Richtung Süden verlief seit dem 18. Jahrhundert eine wichtige Verbindung über den Oberen Hauenstein nach Genf, weiter nach Lyon und Marseille. Im Westen führten zwei Strassen über Nancy und Châlons sur Marne oder Troyes nach Paris und von dort zu den französischen Atlantikhäfen. Über den Bözberg und Zürich lief der Transport über die Gotthardroute und die Bündnerpässe bis Mailand, in die Lombardei, nach Genua, Livorno und Venedig und von dort weiter in die Levante.","Wirtschaft; Globalisierung; Kolonialismus","Neuzeit",,"Stadt.Geschichte.Basel; Q122442230",,"HMB, Alioth 1981, S. 85.",,"http://purl.org/dc/dcmitype/Image","application/pdf","283x295",,,"CC BY-SA.4.0
Quelle: HMB; Alioth 1981, S. 85. Bearbeitung:
Nico Görlich / Moritz Twente","https://creativecommons.org/licenses/by-sa/4.0/","pdf","https://omeka.unibe.ch/files/original/1835784dcf536243ed09468c31021c219340478e.pdf",,,
"m00008","abb21119","Geodaten Gebirgspässe","EPSG; 4327","Wirtschaft; Globalisierung; Kolonialismus","Neuzeit",,"Stadt.Geschichte.Basel; Q122442230",,"HMB, Alioth 1981, S. 85.",,"http://purl.org/dc/dcmitype/Dataset","http://purl.org/dc/dcmitype/Dataset",,,,"CC BY-SA.4.0
Quelle: HMB; Alioth 1981, S. 85. Bearbeitung:
Nico Görlich / Moritz Twente","https://creativecommons.org/licenses/by-sa/4.0/","geodata","https://omeka.unibe.ch/files/original/3adcfb63fe59c3d01786791f6b98401e8f58d9fc.geojson",,,
